disease_en,disease_vi
acute bronchitis,Viêm phế quản cấp
acute kidney injury,Tổn thương thận cấp
alcohol abuse,Lạm dụng rượu
alzheimer disease,Bệnh Alzheimer
anemia,Thiếu máu
anxiety,Rối loạn lo âu
appendicitis,Viêm ruột thừa
asperger syndrome,Hội chứng Asperger
asthma,Hen suyễn
bipolar disorder,Rối loạn lưỡng cực
bladder cancer,Ung thư bàng quang
bursitis,Viêm bao hoạt dịch
celiac disease,Bệnh Celiac (không dung nạp gluten)
cervical cancer,Ung thư cổ tử cung
chickenpox,Thủy đậu
chronic kidney disease,Bệnh thận mạn tính
chronic obstructive pulmonary disease (copd),Bệnh phổi tắc nghẽn mạn tính (COPD)
colorectal cancer,Ung thư đại trực tràng
common cold,Cảm lạnh thông thường
conjunctivitis,Viêm kết mạc (đau mắt đỏ)
crohn disease,Bệnh Crohn
dementia,Sa sút trí tuệ
depression,Trầm cảm
eating disorder,Rối loạn ăn uống
epilepsy,Động kinh
erectile dysfunction,Rối loạn cương dương
fibromyalgia,Đau xơ cơ
flu,Cúm
gallstone,Sỏi mật
gastroduodenal ulcer,Loét dạ dày tá tràng
glaucoma,Tăng nhãn áp (Glaucoma)
gonorrhea,Bệnh lậu
graves disease,Bệnh Graves (cường giáp)
heart attack,Nhồi máu cơ tim
heart failure,Suy tim
hypercholesterolemia,Tăng cholesterol máu
irritable bowel syndrome,Hội chứng ruột kích thích
kidney stone,Sỏi thận
lung cancer,Ung thư phổi
malaria,Sốt rét
meningitis,Viêm màng não
mononucleosis,Tăng bạch cầu đơn nhân nhiễm khuẩn
parkinson disease,Bệnh Parkinson
peripheral arterial disease,Bệnh động mạch ngoại biên
pneumonia,Viêm phổi
prostate cancer,Ung thư tuyến tiền liệt
rheumatoid arthritis,Viêm khớp dạng thấp
shingles (herpes zoster),Bệnh zona thần kinh
stomach cancer,Ung thư dạ dày
stroke,Đột quỵ
systemic lupus erythematosis (sle),Lupus ban đỏ hệ thống
thyroid cancer,Ung thư tuyến giáp
tuberculosis,Bệnh lao
ulcerative colitis,Viêm loét đại tràng
urinary tract infection,Nhiễm trùng đường tiết niệu
varicose veins,Giãn tĩnh mạch
viral hepatitis,Viêm gan virus
viral warts,Mụn cóc do virus
yeast infection,Nhiễm nấm men
