disease_en,disease_vi
hypertension,tăng huyết áp
diabetes mellitus,đái tháo đường
type 2 diabetes,đái tháo đường type 2
type 1 diabetes,đái tháo đường type 1
asthma,hen phế quản
chronic obstructive pulmonary disease,bệnh phổi tắc nghẽn mạn tính
pneumonia,viêm phổi
tuberculosis,lao phổi
bronchitis,viêm phế quản
upper respiratory tract infection,nhiễm trùng đường hô hấp trên
heart failure,suy tim
coronary artery disease,bệnh động mạch vành
myocardial infarction,nhồi máu cơ tim
angina pectoris,đau thắt ngực
arrhythmia,loạn nhịp tim
atrial fibrillation,rung nhĩ
stroke,đột quỵ
migraine,đau nửa đầu
epilepsy,động kinh
parkinson's disease,bệnh parkinson
alzheimer's disease,bệnh alzheimer
peptic ulcer disease,loét dạ dày tá tràng
gastroesophageal reflux disease,trào ngược dạ dày thực quản
gastritis,viêm dạ dày
hepatitis,viêm gan
liver cirrhosis,xơ gan
fatty liver disease,gan nhiễm mỡ
kidney stone,sỏi thận
chronic kidney disease,bệnh thận mạn tính
urinary tract infection,nhiễm trùng đường tiết niệu
anemia,thiếu máu
hypothyroidism,suy giáp
hyperthyroidism,cường giáp
rheumatoid arthritis,viêm khớp dạng thấp
osteoarthritis,thoái hóa khớp
gout,gút
osteoporosis,loãng xương
depression,trầm cảm
anxiety disorder,rối loạn lo âu
insomnia,mất ngủ
schizophrenia,tâm thần phân liệt
bipolar disorder,rối loạn lưỡng cực
allergic rhinitis,viêm mũi dị ứng
atopic dermatitis,viêm da cơ địa
psoriasis,vảy nến
cancer,ung thư
lung cancer,ung thư phổi
breast cancer,ung thư vú
colorectal cancer,ung thư đại trực tràng
hepatitis b,viêm gan b
covid-19,covid-19
influenza,cúm
dengue fever,sốt xuất huyết
malaria,sốt rét
measles,sởi
chickenpox,thủy đậu
appendicitis,viêm ruột thừa
cholecystitis,viêm túi mật
pancreatitis,viêm tụy
diverticulitis,viêm túi thừa đại tràng
irritable bowel syndrome,hội chứng ruột kích thích
crohn's disease,bệnh crohn
ulcerative colitis,viêm loét đại tràng
hemorrhoids,bệnh trĩ
cataract,đục thủy tinh thể
glaucoma,tăng nhãn áp
otitis media,viêm tai giữa
sinusitis,viêm xoang
tonsillitis,viêm amidan
laryngitis,viêm thanh quản
thyroid nodule,nhân tuyến giáp
goiter,bướu cổ
dermatitis,viêm da
eczema,chàm
urticaria,mày đay
acne,mụn trứng cá
shingles,zona thần kinh
endometriosis,lạc nội mạc tử cung
polycystic ovary syndrome,hội chứng buồng trứng đa nang
benign prostatic hyperplasia,tăng sản lành tính tuyến tiền liệt
erectile dysfunction,rối loạn cương dương
meniere's disease,bệnh meniere
vertigo,chóng mặt do rối loạn tiền đình
fibromyalgia,đau cơ xơ hóa
chronic fatigue syndrome,hội chứng mệt mỏi mạn tính
sleep apnea,ngưng thở khi ngủ
restless legs syndrome,hội chứng chân không yên
iron deficiency anemia,thiếu máu do thiếu sắt
vitamin d deficiency,thiếu vitamin d
dehydration,mất nước
electrolyte imbalance,rối loạn điện giải
sepsis,nhiễm trùng huyết
meningitis,viêm màng não
encephalitis,viêm não
celiac disease,bệnh celiac
food allergy,dị ứng thực phẩm
anaphylaxis,sốc phản vệ
