symptom_en,symptom_vi
anxiety and nervousness,lo âu và bồn chồn
depression,trầm cảm
shortness of breath,khó thở
depressive or psychotic symptoms,triệu chứng trầm cảm hoặc rối loạn tâm thần
sharp chest pain,đau nhói ngực
dizziness,chóng mặt
insomnia,mất ngủ
abnormal involuntary movements,cử động bất thường không tự chủ
chest tightness,tức ngực
palpitations,"hồi hộp, đánh trống ngực"
irregular heartbeat,nhịp tim không đều
breathing fast,thở nhanh
hoarse voice,khàn giọng
sore throat,đau họng
difficulty speaking,khó nói
cough,ho
nasal congestion,nghẹt mũi
throat swelling,sưng họng
diminished hearing,giảm thính lực
lump in throat,cảm giác nghẹn ở cổ họng
throat feels tight,cảm giác chặt cổ họng
difficulty in swallowing,khó nuốt
skin swelling,sưng da
retention of urine,bí tiểu
groin mass,khối u vùng bẹn
leg pain,đau chân
hip pain,đau hông
suprapubic pain,đau vùng trên xương mu
blood in stool,máu trong phân
lack of growth,chậm phát triển
emotional symptoms,triệu chứng cảm xúc
elbow weakness,yếu khuỷu tay
back weakness,yếu lưng
pus in sputum,mủ trong đờm
symptoms of the scrotum and testes,triệu chứng ở bìu và tinh hoàn
swelling of scrotum,sưng bìu
pain in testicles,đau tinh hoàn
flatulence,đầy hơi
pus draining from ear,chảy mủ tai
jaundice,vàng da
mass in scrotum,khối u ở bìu
white discharge from eye,chảy dịch trắng ở mắt
irritable infant,trẻ sơ sinh quấy khóc
abusing alcohol,lạm dụng rượu
fainting,ngất xỉu
hostile behavior,hành vi hung hăng
drug abuse,lạm dụng ma túy
sharp abdominal pain,đau nhói bụng
feeling ill,"cảm thấy khó chịu, mệt mỏi"
vomiting,nôn mửa
headache,đau đầu
nausea,buồn nôn
diarrhea,tiêu chảy
vaginal itching,ngứa âm đạo
vaginal dryness,khô âm đạo
painful urination,tiểu buốt
involuntary urination,tiểu không tự chủ
pain during intercourse,đau khi quan hệ
frequent urination,tiểu nhiều lần
lower abdominal pain,đau bụng dưới
vaginal discharge,khí hư âm đạo
blood in urine,tiểu ra máu
hot flashes,bốc hỏa
intermenstrual bleeding,chảy máu giữa kỳ kinh
hand or finger pain,đau bàn tay hoặc ngón tay
wrist pain,đau cổ tay
hand or finger swelling,sưng bàn tay hoặc ngón tay
arm pain,đau cánh tay
wrist swelling,sưng cổ tay
arm stiffness or tightness,cứng hoặc căng cánh tay
arm swelling,sưng cánh tay
hand or finger stiffness or tightness,cứng hoặc căng bàn tay/ngón tay
wrist stiffness or tightness,cứng hoặc căng cổ tay
lip swelling,sưng môi
toothache,đau răng
abnormal appearing skin,da bất thường
skin lesion,tổn thương da
acne or pimples,mụn trứng cá
dry lips,khô môi
facial pain,đau mặt
mouth ulcer,loét miệng
skin growth,u/mọc bất thường trên da
eye deviation,lệch mắt
diminished vision,giảm thị lực
double vision,nhìn đôi
cross-eyed,lác mắt
symptoms of eye,triệu chứng ở mắt
pain in eye,đau mắt
eye moves abnormally,mắt cử động bất thường
abnormal movement of eyelid,mí mắt cử động bất thường
foreign body sensation in eye,cảm giác có dị vật trong mắt
irregular appearing scalp,da đầu bất thường
swollen lymph nodes,sưng hạch bạch huyết
back pain,đau lưng
neck pain,đau cổ
low back pain,đau thắt lưng
pain of the anus,đau hậu môn
pain during pregnancy,đau khi mang thai
pelvic pain,đau vùng chậu
impotence,liệt dương
infant spitting up,trẻ ọc sữa
vomiting blood,nôn ra máu
regurgitation,trào ngược
burning abdominal pain,đau rát bụng
restlessness,bồn chồn không yên
symptoms of infants,triệu chứng ở trẻ sơ sinh
wheezing,thở khò khè
peripheral edema,phù ngoại biên
neck mass,khối u ở cổ
ear pain,đau tai
jaw swelling,sưng hàm
mouth dryness,khô miệng
neck swelling,sưng cổ
knee pain,đau đầu gối
foot or toe pain,đau bàn chân hoặc ngón chân
bowlegged or knock-kneed,chân vòng kiềng hoặc chân chữ X
ankle pain,đau mắt cá chân
bones are painful,đau xương
knee weakness,yếu đầu gối
elbow pain,đau khuỷu tay
knee swelling,sưng đầu gối
skin moles,nốt ruồi
knee lump or mass,khối u ở đầu gối
weight gain,tăng cân
problems with movement,khó khăn khi vận động
knee stiffness or tightness,cứng hoặc căng đầu gối
leg swelling,sưng chân
foot or toe swelling,sưng bàn chân hoặc ngón chân
heartburn,ợ nóng
smoking problems,vấn đề hút thuốc
muscle pain,đau cơ
infant feeding problem,vấn đề bú/ăn ở trẻ sơ sinh
recent weight loss,sụt cân gần đây
problems with shape or size of breast,bất thường hình dạng/kích thước vú
underweight,thiếu cân
difficulty eating,khó ăn
scanty menstrual flow,kinh nguyệt ít
vaginal pain,đau âm đạo
vaginal redness,đỏ âm đạo
vulvar irritation,kích ứng âm hộ
weakness,"suy nhược, yếu người"
decreased heart rate,nhịp tim chậm
increased heart rate,nhịp tim nhanh
bleeding or discharge from nipple,chảy máu hoặc dịch từ núm vú
ringing in ear,ù tai
plugged feeling in ear,cảm giác bịt tai
itchy ear(s),ngứa tai
frontal headache,đau đầu vùng trán
fluid in ear,tràn dịch tai
neck stiffness or tightness,cứng hoặc căng cổ
spots or clouds in vision,đốm hoặc mờ trong tầm nhìn
eye redness,đỏ mắt
lacrimation,chảy nước mắt
itchiness of eye,ngứa mắt
blindness,mù lòa
eye burns or stings,nóng rát mắt
itchy eyelid,ngứa mí mắt
feeling cold,cảm thấy lạnh
decreased appetite,chán ăn
excessive appetite,ăn quá nhiều
excessive anger,dễ nổi giận
loss of sensation,mất cảm giác
focal weakness,yếu cục bộ
slurring words,nói lắp/nói ngọng
symptoms of the face,triệu chứng ở mặt
disturbance of memory,suy giảm trí nhớ
paresthesia,"tê bì, dị cảm"
side pain,đau vùng hông sườn
fever,sốt
shoulder pain,đau vai
shoulder stiffness or tightness,cứng hoặc căng vai
shoulder weakness,yếu vai
arm cramps or spasms,chuột rút/co thắt cánh tay
shoulder swelling,sưng vai
tongue lesions,tổn thương lưỡi
leg cramps or spasms,chuột rút/co thắt chân
abnormal appearing tongue,lưỡi bất thường
ache all over,đau nhức toàn thân
lower body pain,đau phần thân dưới
problems during pregnancy,vấn đề trong thai kỳ
spotting or bleeding during pregnancy,ra máu khi mang thai
cramps and spasms,chuột rút và co thắt
upper abdominal pain,đau bụng trên
stomach bloating,đầy bụng
changes in stool appearance,thay đổi hình dạng phân
unusual color or odor to urine,nước tiểu bất thường màu/mùi
kidney mass,khối u ở thận
swollen abdomen,bụng chướng
symptoms of prostate,triệu chứng ở tuyến tiền liệt
leg stiffness or tightness,cứng hoặc căng chân
difficulty breathing,khó thở
rib pain,đau xương sườn
joint pain,đau khớp
muscle stiffness or tightness,cứng hoặc căng cơ
pallor,da xanh xao
hand or finger lump or mass,khối u ở bàn tay/ngón tay
chills,ớn lạnh
groin pain,đau bẹn
fatigue,mệt mỏi
abdominal distention,chướng bụng
regurgitation.1,trào ngược
symptoms of the kidneys,triệu chứng ở thận
melena,đi ngoài phân đen
flushing,đỏ bừng mặt
coughing up sputum,ho khạc đờm
seizures,co giật
delusions or hallucinations,hoang tưởng hoặc ảo giác
shoulder cramps or spasms,chuột rút/co thắt vai
joint stiffness or tightness,cứng hoặc căng khớp
pain or soreness of breast,đau hoặc nhức vú
excessive urination at night,tiểu đêm nhiều
bleeding from eye,chảy máu mắt
rectal bleeding,chảy máu trực tràng
constipation,táo bón
temper problems,dễ cáu gắt
coryza,sổ mũi
wrist weakness,yếu cổ tay
eye strain,mỏi mắt
hemoptysis,ho ra máu
lymphedema,phù bạch huyết
skin on leg or foot looks infected,da chân/bàn chân có dấu hiệu nhiễm trùng
allergic reaction,phản ứng dị ứng
congestion in chest,tức ngực do tắc nghẽn
muscle swelling,sưng cơ
pus in urine,mủ trong nước tiểu
abnormal size or shape of ear,tai bất thường về kích thước/hình dạng
low back weakness,yếu thắt lưng
sleepiness,buồn ngủ
apnea,ngưng thở
abnormal breathing sounds,âm thở bất thường
excessive growth,phát triển quá mức
elbow cramps or spasms,chuột rút/co thắt khuỷu tay
feeling hot and cold,lúc nóng lúc lạnh
blood clots during menstrual periods,cục máu đông khi hành kinh
absence of menstruation,mất kinh
pulling at ears,kéo tai (thường ở trẻ nhỏ)
gum pain,đau nướu
redness in ear,đỏ tai
fluid retention,giữ nước
flu-like syndrome,hội chứng giống cúm
sinus congestion,nghẹt xoang
painful sinuses,đau xoang
fears and phobias,"sợ hãi, ám ảnh sợ"
recent pregnancy,mới mang thai gần đây
uterine contractions,co thắt tử cung
burning chest pain,đau rát ngực
back cramps or spasms,chuột rút/co thắt lưng
stiffness all over,cứng toàn thân
"muscle cramps, contractures, or spasms","chuột rút, co cứng cơ"
low back cramps or spasms,chuột rút/co thắt thắt lưng
back mass or lump,khối u ở lưng
nosebleed,chảy máu cam
long menstrual periods,kinh nguyệt kéo dài
heavy menstrual flow,kinh nguyệt ra nhiều
unpredictable menstruation,kinh nguyệt không đều
painful menstruation,đau bụng kinh
infertility,hiếm muộn/vô sinh
frequent menstruation,kinh nguyệt thường xuyên
sweating,đổ mồ hôi
mass on eyelid,khối u ở mí mắt
swollen eye,sưng mắt
eyelid swelling,sưng mí mắt
eyelid lesion or rash,tổn thương/phát ban mí mắt
unwanted hair,mọc lông không mong muốn
symptoms of bladder,triệu chứng ở bàng quang
irregular appearing nails,móng tay bất thường
itching of skin,ngứa da
hurts to breath,đau khi thở
nailbiting,cắn móng tay
"skin dryness, peeling, scaliness, or roughness","da khô, bong tróc, sần sùi"
skin on arm or hand looks infected,da tay có dấu hiệu nhiễm trùng
skin irritation,kích ứng da
itchy scalp,ngứa da đầu
hip swelling,sưng hông
incontinence of stool,đại tiện không tự chủ
foot or toe cramps or spasms,chuột rút bàn chân/ngón chân
warts,mụn cóc
bumps on penis,nổi cục ở dương vật
too little hair,rụng tóc/ít lông
foot or toe lump or mass,khối u ở bàn chân/ngón chân
skin rash,phát ban da
mass or swelling around the anus,khối u/sưng quanh hậu môn
low back swelling,sưng thắt lưng
ankle swelling,sưng mắt cá chân
hip lump or mass,khối u ở hông
drainage in throat,dịch chảy xuống họng
dry or flaky scalp,da đầu khô/bong vảy
premenstrual tension or irritability,căng thẳng/cáu gắt trước kỳ kinh
feeling hot,cảm thấy nóng
feet turned in,bàn chân vẹo vào trong
foot or toe stiffness or tightness,cứng bàn chân/ngón chân
pelvic pressure,áp lực vùng chậu
elbow swelling,sưng khuỷu tay
elbow stiffness or tightness,cứng khuỷu tay
early or late onset of menopause,mãn kinh sớm hoặc muộn
mass on ear,khối u ở tai
bleeding from ear,chảy máu tai
hand or finger weakness,yếu bàn tay/ngón tay
low self-esteem,tự ti
throat irritation,kích ứng họng
itching of the anus,ngứa hậu môn
swollen or red tonsils,amidan sưng đỏ
irregular belly button,rốn bất thường
swollen tongue,sưng lưỡi
lip sore,lở môi
vulvar sore,lở âm hộ
hip stiffness or tightness,cứng hông
mouth pain,đau miệng
arm weakness,yếu cánh tay
leg lump or mass,khối u ở chân
disturbance of smell or taste,rối loạn khứu giác/vị giác
discharge in stools,dịch nhầy trong phân
penis pain,đau dương vật
loss of sex drive,giảm ham muốn tình dục
obsessions and compulsions,ám ảnh cưỡng chế
antisocial behavior,hành vi chống đối xã hội
neck cramps or spasms,chuột rút/co thắt cổ
pupils unequal,đồng tử không đều
poor circulation,tuần hoàn kém
thirst,khát nước
sleepwalking,mộng du
skin oiliness,da nhờn
sneezing,hắt hơi
bladder mass,khối u bàng quang
knee cramps or spasms,chuột rút đầu gối
premature ejaculation,xuất tinh sớm
leg weakness,yếu chân
posture problems,tư thế bất thường
bleeding in mouth,chảy máu trong miệng
tongue bleeding,chảy máu lưỡi
change in skin mole size or color,nốt ruồi thay đổi kích thước/màu sắc
penis redness,đỏ dương vật
penile discharge,dịch tiết dương vật
shoulder lump or mass,khối u ở vai
polyuria,tiểu nhiều
cloudy eye,mắt mờ đục
hysterical behavior,hành vi kích động
arm lump or mass,khối u ở cánh tay
nightmares,ác mộng
bleeding gums,chảy máu nướu
pain in gums,đau nướu
bedwetting,đái dầm
diaper rash,hăm tã
lump or mass of breast,khối u ở vú
vaginal bleeding after menopause,chảy máu âm đạo sau mãn kinh
infrequent menstruation,kinh nguyệt thưa
mass on vulva,khối u ở âm hộ
jaw pain,đau hàm
itching of scrotum,ngứa bìu
postpartum problems of the breast,vấn đề ở vú sau sinh
eyelid retracted,mí mắt co rút
hesitancy,tiểu khó khởi đầu
elbow lump or mass,khối u ở khuỷu tay
muscle weakness,yếu cơ
throat redness,đỏ họng
joint swelling,sưng khớp
